Date : 2025-04-18 20:50:03
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 239 files,  12017 codes, 1000 comments, 2548 blanks, all 15565 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |         66 |      3,864 |        202 |        737 |      4,803 |
| Python             |         32 |      2,542 |        365 |        771 |      3,678 |
| PHP                |         26 |      1,733 |        241 |        544 |      2,518 |
| CSS                |         33 |      1,379 |         14 |        140 |      1,533 |
| XML                |         21 |      1,222 |         38 |         13 |      1,273 |
| JavaScript         |         40 |        964 |         67 |        258 |      1,289 |
| Markdown           |          3 |        137 |          0 |         38 |        175 |
| Java               |          3 |         84 |         25 |         22 |        131 |
| Batch              |          1 |         39 |         29 |         22 |         90 |
| JSON with Comments |          2 |         31 |          0 |          0 |         31 |
| JSON               |         10 |         14 |          0 |          2 |         16 |
| Properties         |          2 |          8 |         19 |          1 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        239 |     12,017 |      1,000 |      2,548 |     15,565 |
| . (Files)                                                                                                                                               |          1 |        111 |          0 |         24 |        135 |
| Interface                                                                                                                                               |          1 |         18 |          6 |          8 |         32 |
| life-flow-badge                                                                                                                                         |         26 |      1,633 |        218 |        528 |      2,379 |
| life-flow-badge (Files)                                                                                                                                 |          5 |        323 |         31 |        100 |        454 |
| life-flow-badge\examples                                                                                                                                |         13 |      1,302 |        187 |        428 |      1,917 |
| life-flow-badge\state                                                                                                                                   |          8 |          8 |          0 |          0 |          8 |
| life-flow-main                                                                                                                                          |        155 |      6,579 |        404 |      1,288 |      8,271 |
| life-flow-main (Files)                                                                                                                                  |         11 |        653 |        100 |        168 |        921 |
| life-flow-main\GPIO                                                                                                                                     |          1 |         60 |         13 |         18 |         91 |
| life-flow-main\backup                                                                                                                                   |         72 |      2,749 |        147 |        511 |      3,407 |
| life-flow-main\backup (Files)                                                                                                                           |          6 |        189 |         15 |         47 |        251 |
| life-flow-main\backup\GPIO                                                                                                                              |          1 |         60 |         13 |         18 |         91 |
| life-flow-main\backup\web                                                                                                                               |         65 |      2,500 |        119 |        446 |      3,065 |
| life-flow-main\backup\web (Files)                                                                                                                       |          6 |        150 |          3 |         40 |        193 |
| life-flow-main\backup\web\about                                                                                                                         |          3 |         69 |          1 |          7 |         77 |
| life-flow-main\backup\web\emergency                                                                                                                     |          5 |        129 |          2 |         13 |        144 |
| life-flow-main\backup\web\global                                                                                                                        |          5 |        449 |         18 |         81 |        548 |
| life-flow-main\backup\web\global (Files)                                                                                                                |          3 |        244 |          9 |         31 |        284 |
| life-flow-main\backup\web\global\fade                                                                                                                   |          1 |         11 |          0 |          2 |         13 |
| life-flow-main\backup\web\global\keyboard                                                                                                               |          1 |        194 |          9 |         48 |        251 |
| life-flow-main\backup\web\home                                                                                                                          |          3 |         60 |          1 |         12 |         73 |
